primID   auxID  Station name            Lat.(N)    Long.(E)     Xgrid    Ygrid      Elev  NXpos  NYpos   Last moved Date
123456  123456  1234567890123456789  1234567890  1234567890  12345678  12345678  1234567  12345  12345  1234567890123456
------  ------  -------------------  ----------  ----------  --------  --------  -------  -----  -----  ----------------
047235  047235  Boryeong               36.32721   126.55741     52.77     99.73     15.5   53.0  100.0  1972.01.24.00:00
047236  047236  Buyeo                  36.27236   126.92081     59.15     98.59     11.3   59.0   99.0  1972.01.09.00:00
047238  047238  Geumsan                36.10562   127.48175     69.05     95.11    170.4   69.0   95.0  1972.01.09.00:00
047243  047243  Buan                   35.72954   126.71655     55.67     86.74     12.0   56.0   87.0  1972.03.01.00:00
047244  047244  Imsil                  35.61227   127.28556     65.78     84.31    247.9   66.0   84.0  1970.06.02.00:00
047245  047245  Jeongeup               35.56317   126.86611     58.36     83.14     44.6   58.0   83.0  1970.01.05.00:00
047247  047247  Namwon                 35.40230   127.39670     67.82     79.77    127.5   68.0   80.0  2013.08.01.00:01
047248  047248  Jangsu                 35.65695   127.52029     69.92     85.36    406.5   70.0   85.0  1988.01.01.00:00
047251  047251  Gochanggun             35.42660   126.69700     55.38     80.13     54.0   55.0   80.0  2010.12.01.00:00
047252  047252  ---------              35.28367   126.47779     51.51     76.99     37.2   52.0   77.0  2007.11.26.00:00
047253  047253  ---------              35.22666   128.89301     94.55     76.65     59.3   95.0   77.0  2008.02.13.14:00
047254  047254  ---------              35.37140   127.12860     63.07     79.02    127.0   63.0   79.0  2008.07.16.20:00
047255  047255  Bukchangwon            35.22640   128.67250     90.62     76.51     46.8   91.0   77.0  2010.07.22.00:00
047257  047257  ---------              35.30720   129.02000     96.75     78.49     14.9   97.0   78.0  2008.12.26.00:00
047258  047258  ---------              34.76330   127.21230     64.76     65.77      2.8   65.0   66.0  2010.03.11.00:00
047259  047259  GainGun                34.62610   126.76890     56.83     62.67     12.5   57.0   63.0  2009.11.10.00:00
047260  047260  Jangheung              34.68875   126.91949     59.52     64.07     45.0   60.0   64.0  1972.01.21.00:00
047261  047261  Haenam                 34.55359   126.56897     53.24     61.06     13.0   53.0   61.0  1971.02.03.00:00
047262  047262  Goheung                34.61824   127.27571     65.95     62.62     53.1   66.0   63.0  1972.01.22.00:00
047263  047263  ---------              35.32260   128.28810     83.71     78.39     14.2   84.0   78.0  2010.06.21.00:00
047264  047264  ---------              35.51140   127.74540     73.97     82.27    151.2   74.0   82.0  2010.06.21.00:00
047266  047266  ---------              34.94300   127.69100     73.27     69.85     80.9   73.0   70.0  2011.01.01.00:00
047268  000715  Jindogun               34.47310   126.25850     47.66     59.27      5.4   48.0   59.0  2014.05.09.21:15
047271  047271  Bongwhoa               36.94355   128.91454     93.57    114.01    322.0   94.0  114.0  1988.01.01.00:00
047272  047272  Yeongju                36.87188   128.51695     86.73    112.22    210.8   87.0  112.0  1972.11.28.00:00
047273  047273  Mungyeong              36.62727   128.14877     80.47    106.72    170.6   80.0  107.0  1973.01.01.00:00
047276  047276  ---------              36.43210   129.04230     96.21    102.98    206.2   96.0  103.0  2010.09.01.00:00
047277  047277  Yeongdeok              36.53331   129.40936    102.53    105.44     42.1  103.0  105.0  1972.01.03.00:00
047278  047278  Uiseong                36.35611   128.68863     90.08    101.11     81.8   90.0  101.0  1973.01.01.00:00
047279  047279  Gumi                   36.13055   128.32054     83.78     96.01     48.9   84.0   96.0  1973.01.01.00:00
047281  047281  Yeongcheon             35.97743   128.95142     94.99     93.04     93.6   95.0   93.0  1972.01.21.00:00
047283  047283  GyeongJu               35.81746   129.20091     99.52     89.73     37.6  100.0   90.0  2010.08.06.00:00
047284  047284  Geochang               35.66740   127.90900     76.79     85.73    225.9   77.0   86.0  2011.03.04.14:53
047285  047285  Hapcheon               35.56503   128.16986     81.47     83.62     33.1   81.0   84.0  1973.01.01.00:00
047288  047288  Miryang                35.49148   128.74409     91.70     82.33     11.2   92.0   82.0  1973.01.01.00:00
047289  047289  Sancheong              35.41299   127.87910     76.39     80.18    138.1   76.0   80.0  1972.03.30.00:00
047294  047294  Geoje                  34.88818   128.60452     89.65     69.09     46.3   90.0   69.0  1972.01.24.00:00
047295  047295  Namhae                 34.81663   127.92641     77.55     67.18     45.0   78.0   67.0  1972.01.24.00:00
047092  047092  YangyangAir            38.06667   128.66667     88.46    138.20     75.4   88.0  138.0  2002.02.25.01:00
047110  047110  GimpoAir               37.55695   126.79750     56.71    126.47     11.4   57.0  126.0  1961.01.01.06:00
047113  047113  IncheonAir             37.46250   126.43916     50.56    124.37      7.1   51.0  124.0  2000.09.01.01:00
047128  047128  CheongjuAir            36.71667   127.50000     69.12    108.40     58.0   69.0  108.0  1997.04.22.01:00
047151  047151  UlsanAir               35.59333   129.35222    102.39     84.96     12.6  102.0   85.0  1985.01.01.01:00
047163  047163  MuanAir                34.99139   126.38306     49.85     70.60     10.9   50.0   71.0  2007.11.08.00:00
047167  047167  YeosuAir               34.84667   127.61250     71.90     67.71     17.9   72.0   68.0  1978.08.01.09:00
047139  047139  PohangAir              35.98330   129.41670    103.17     93.49     21.0  103.0   93.0  2007.09.01.00:00
047142  047142  DaeguAir               35.89083   128.66112     89.94     90.98     35.4   90.0   91.0  2002.08.26.01:00
047153  047153  GimhaeAir              35.16917   128.93445     95.33     75.42      4.0   95.0   75.0  1976.09.01.03:00
047158  047158  GwangjuAir             35.12500   126.81167     57.49     73.57     12.8   57.0   74.0  2007.09.01.00:00
047161  047161  SacheonAir             35.08333   128.06667     79.91     73.07      8.0   80.0   73.0  2007.09.01.00:00
047182  047182  JejuAir                33.51667   126.50000     52.14     38.34     26.5   52.0   38.0  1965.11.01.09:00
047299  047299  Ieodo                  32.12295   125.18292     27.74      7.74     36.0   28.0    8.0
000715  000715  Jindogun               34.47310   126.25850     47.66     59.27      5.4   48.0   59.0
000096  000096  DokDo                  37.23952   131.86983    144.31    123.23     96.2  144.0  123.0  2009.10.27.00:00
000233  000233  DongCheonan            36.76240   127.29270     65.50    109.33     81.0   65.0  109.0  2015.01.09.17:01
000300  000300  ---------              35.85837   126.31534     48.57     89.50     48.5   49.0   89.0  2015.07.13.00:00
000301  000301  ---------              35.08590   126.11800     45.11     72.65      6.0   45.0   73.0  2011.11.23.15:07
000302  000302  ---------              34.66470   126.15920     45.86     63.45     19.0   46.0   63.0  2011.12.09.16:23
000303  000303  ---------              34.05220   125.12640     27.15     50.14     22.0   27.0   50.0  2010.11.23.18:20
000304  000304  ---------              34.31800   126.84850     58.33     55.95     21.0   58.0   56.0  2015.07.13.00:00
000305  000305  ---------              33.98622   126.92009     59.71     48.70     35.4   60.0   49.0  2015.07.13.00:00
000306  000306  ---------              34.43166   127.80083     75.48     58.72      3.0   75.0   59.0  2001.01.05.16:00
000308  000308  ---------              34.68700   126.07310     44.31     63.94      5.6   44.0   64.0  2014.12.24.00:01
000310  000310  ---------              37.32460   129.26500     99.31    122.51     14.0   99.0  123.0  2015.07.13.00:00
000311  000311  ---------              35.78919   128.08670     79.87     88.46    595.7   80.0   88.0  2015.07.13.00:00
000312  000312  ---------              36.39300   129.14140     97.98    102.20    264.0   98.0  102.0  2011.12.01.16:33
000313  000313  ---------              34.89335   128.75139     92.28     69.29     54.7   92.0   69.0  2015.07.13.00:00
000314  000314  ---------              35.86621   127.74312     73.76     89.99   1518.3   74.0   90.0  2015.07.13.00:00
000315  000315  ---------              35.30673   127.51079     69.89     77.72   1088.9   70.0   78.0  2015.07.13.00:00
000316  000316  ---------              35.11437   126.99743     60.81     73.38    911.8   61.0   73.0  2012.12.01.00:01
000317  000317  ---------              35.72950   127.11420     62.70     86.82    101.3   63.0   87.0  2011.09.28.18:51
000318  000318  ---------              37.64340   128.67039     88.83    129.04    770.0   89.0  129.0  2015.07.13.00:00
000319  000319  ---------              37.54075   130.87460    126.76    128.60     30.4  127.0  129.0  2001.10.25.12:00
000320  000320  ---------              38.33101   128.31372     82.28    143.74   1262.6   82.0  144.0  2015.07.13.00:00
000321  000321  ---------              38.11468   128.19630     80.42    139.00    253.7   80.0  139.0  2001.10.25.12:00
000322  000322  ---------              38.21552   127.66984     71.40    140.96    263.8   71.0  141.0  2015.07.13.00:00
000323  000323  ---------              38.27469   127.55300     69.39    142.20    291.4   69.0  142.0  2015.07.13.00:00
000324  000324  ---------              36.91010   128.07449     79.02    112.83    141.0   79.0  113.0  2015.07.13.00:00
